,Title,Images,Summary,Aurthor,Category,ID
0,John Martin Littlejohn: An Enigma of Osteopathy,http://ecx.images-amazon.com/images/I/51Lpg7xmrBL.jpg,"J Martin Littlejohn was a person who stood literally and figuratively shoulder to shoulder with the founder of osteopathy, A T Still. A proud presbyterian Scot who made his career and reputation in the USA, only to have it questioned and discredited after returning to pursue his osteopathic practice in London, Littlejohn was a controversial character. Undoubtedly a pioneer in establishing osteopathic medicine both in the USA and in the UK, he was also a fraud, using contentious qualifications to promote his academic and scientific credibility. No one has been able to write a comprehensive study of Littlejohn until now. John O'Brien has spent years researching the man. Using the objective eye of a professional historian, he has visited the institutions of Littlejohn's life and career, in Northern Ireland, Chicago, Illinois and Kirksville, Missouri, and the National Osteopathic Archive in London, as well as holding interviews with Littlejohn's family in the UK. He was granted access to previously unseen historic material as well as personal family mementos and photographs. This book will be read by anyone with an interest in the history of osteopathy. It gives a thorough description of the life and work of J Martin Littlejohn, with a broad analysis of how and why he took the major decisions to affect his career, for good or bad. And of course the consequences of those decisions, which had a major influence on the development of osteopathy in the 20th century. Key points: 30 photographs, some previously unseen Author access to previously unseen archives Contributions from Littlejohn's family",John O'Brien,Medical Books,1848291388
1,Ireland's Wild Atlantic Way,http://ecx.images-amazon.com/images/I/61KoC743OzL.jpg,"In 2013 Tourism Ireland launched the Wild Atlantic Way. This 1,600 mile touring route follows Ireland's west coast from Donegal in the North to Cork in the South and encompasses some of Ireland's most spectacular scenery. This book is the perfect accompaniment to the route, taking the reader on a photographic journey down Ireland's west coast from Donegal to Cork, with maps for each section of the route.",Carsten Krieger,Travel,1847176968
2,Lonely Planet Israel & the Palestinian Territories (Travel Guide),http://ecx.images-amazon.com/images/I/515LqScy63L.jpg,"<P><I>Lonely Planet: The world's leading travel guide publisher</I> </P><P><B><I>Lonely Planet Israel & the Palestinian Territories </I></B>is your passport to the most relevant, up-to-date advice on what to see and skip, and what hidden discoveries await you. Explore Crusader ruins; marvel at the breathtaking Dome of the Rock; or laze on the golden sands of Tel Aviv's world-famous beaches; all with your trusted travel companion. Get to the heart of Israel and the Palestinian Territories and begin your journey now! </P><P><B>Inside <I>Lonely Planet Israel & the Palestinian Territories</I> Travel Guide:</B> </P><UL> <LI><B>Full-colour </B>maps and images throughout <LI><B>Highlights</B> <B>and itineraries</B> help you tailor your trip to your personal needs and interests <LI><B>Insider tips</B> to save time and money and get around like a local, avoiding crowds and trouble spots <LI><B>Essential info</B> <B>at your fingertips</B> - hours of operation, phone numbers, websites, transit tips, prices <LI><B>Honest reviews for all budgets</B> - eating, sleeping, sight-seeing, going out, shopping, hidden gems that most guidebooks miss <LI><B>Cultural insights</B> give you a richer, more rewarding travel experience - history, culture, cuisine, government and politics, religion, literature, music, cinema, environment <LI><B>Free, convenient pull-out Jerusalem city map</B> (included in print version), plus over 50 colour maps <LI><B>Covers</B> Jerusalem, Tel Aviv, Jaffa, Haifa, Galilee, Tsfat, the Gaza Strip, the West Bank, the Negev, the Dead Sea, Petra and more </LI></UL><P><B>The Perfect Choice: </B><B><I>Lonely Planet </I></B><B><I>Israel & the Palestinian Territories</I></B><B>,</B> our most comprehensive guide to Israel and the Palestinian Territories, is perfect for both exploring top sights and taking roads less travelled. </P><UL> <LI>Looking for more extensive coverage? Check out our <B><I>Lonely Planet Middle East </I></B>guide. </LI></UL><P><B>Authors:</B> Written and researched by Lonely Planet, Daniel Robinson, Orlando Crowcroft, Virginia Maxwell and Jenny Walker. </P><P><B>About Lonely Planet: </B>Since 1973, Lonely Planet has become the world's leading travel media company with guidebooks to every destination, an award-winning website, mobile and digital travel products, and a dedicated traveller community. Lonely Planet covers must-see spots but also enables curious travellers to get off beaten paths to understand more of the culture of the places in which they find themselves. </P>",Lonely Planet,Travel,1760342769
3,Wood Spirits and Green Men: A Design Sourcebook for Woodcarvers and Other Artists,http://ecx.images-amazon.com/images/I/6124u5dAX0L.jpg,"Green men and wood spirits, historical symbols that link the forces of nature and humanity, have re-emerged as popular subjects for woodcarvers and other artists. This ultimate sourcebook for carving these classic figures, from noted artist and author Lora S. Irish, offers a short history and evolution of the green man and wood spirit symbols. Two step-by-step demonstrations, for carving a Green Man and a Wood Spirit Walking Stick, are provided by renowned carvers Chris Pye and Shawn Cipa. 40 ready-to-use, original patterns are also included, along with a full-color gallery of eye-catching and inspiring photos from Clive Hicks. Inside this book you'll find all the tips, techniques, information, and inspiration necessary to successfully create your own interpretation of this timeless icon -- in any craft medium you choose.",Lora S. Irish,"Crafts, Hobbies & Home",1565238567
4,"Jokes, Jokes and More Jokes: Hilarious Adult Humor with Over 600 of the Funniest Dirty Jokes, Puns and Putdowns",http://ecx.images-amazon.com/images/I/51ireXRMvsL.jpg,"Black & White Version - Look for it in color! If you are looking for good clean family fun then turn your ass around! In Jokes, Jokes & More Jokes, Mr. Jokes Star is no holds barred. If you are sensitive to racial slurs, cursing and totally unclean, sexual and senseless jokes, then this is not the book for you! This is a book of jokes - jokes about EVERYONE! Yes, that's right. We are all getting a laugh on your behalf... and his behalf, and hers and mine!",Joke Star Funny Bones Mr.,Humor & Entertainment,151511435X
5,Issues in Cost Accounting for Health Care Organizations,http://ecx.images-amazon.com/images/I/41C30XZKNPL.jpg,"Offers a collection of articles focusing on critical issues in health care cost accounting. Each article provides insight about a specific potential problem area in the management of health care organizations. Many articles incorporate the latest costing techniques, such as the application of Activi",Steven A. Finkler,Medical Books,083421010X
6,Automatic Speech Recognition: A Deep Learning Approach (Signals and Communication Technology),http://ecx.images-amazon.com/images/I/51TSPSAY%2BlL.jpg,"<p>This book provides a comprehensive overview of the recent advancement in the field of automatic speech recognition with a focus on deep learning models including deep neural networks and many of their variants. This is the first automatic speech recognition book dedicated to the deep learning approach. In addition to the rigorous mathematical treatment of the subject, the book also presents insights and theoretical foundation of a series of highly successful deep learning models.</p>",Dong Yu,Computers & Technology,1447157788
7,Android Fun,http://ecx.images-amazon.com/images/I/51U7tFqa8OL.jpg,Android interview question,Mr Ujjwal Kumar Gupta,Computers & Technology,147924158X
8,Mastering phpMyAdmin 3.4 for Effective MySQL Management,http://ecx.images-amazon.com/images/I/51mg7cMPo2L.jpg,"This is a step-by-step instructional guide to get you started easily with phpMyAdmin and teach you to manage and perform database functions on your database. You will first be introduced to the interface and then build basic tables and perform both simple and advanced functions on the created database. The book progresses gradually and you will follow it best by reading it sequentially. If you are a developer, system administrator, or web designer who wants to manage MySQL databases and tables efficiently, then this book is for you. This book assumes that you are already wellacquainted with MySQL basics. This book is a must-read for every serious phpMyAdmin user who would like to use this outstanding application to its full power.",Marc Delisle,Computers & Technology,1849517789
9,Not For Tourists Guide to Seattle (Not for Tourists Guidebook),http://ecx.images-amazon.com/images/I/410U-2vJOfL.jpg,"<p><strong><strong>With details on everything from the Space Needle to Belltown, this is the only guide a native or traveler needs. </strong></strong></p><p> The <em>Not For Tourists Guide to Seattle</em> divides Seattle and the Eastside into forty-nine mapped neighborhoods. Every map is dotted with user-friendly icons that plot the nearest essential services and entertainment locations while providing important information on Seattle&#8217;s art and theater scene, restaurants, bookstores, coffee shops, museums, and everything else you need to know about the Emerald City. The guide also features:</p><p> · A foldout street and highway map</p><p> · Over one hundred neighborhood maps</p><p> · Details on parks and outdoor activities </p><p> · Listings for music and performance venues </p><p> · Essential Seattle movies and books </p><p> For a little more than the cost of a ticket to the top of the Space Needle, you&#8217;ll have all of Seattle at your fingertips. </p> 115 color illustrations",Not For Tourists,Travel,1626360561
