,Title,Images,Summary,Aurthor,Category,ID
0,"Commercial Pilot Test Prep 2016: Study & Prepare: Pass your test and know what is essential to become a safe, competent pilot EE from the most trusted source in aviation training (Test Prep series)",http://ecx.images-amazon.com/images/I/412enjlYcwL.jpg,"<div>Applicants studying for the FAA Commercial Pilot Knowledge Exams will find sample questions for every question in the Federal Aviation Administration (FAA) exam database along with their answers and explanations, in this guide. All of the more than 800 questions from the exam are arranged by subject category and are accompanied by specific study material. Updates are provided to account for FAA test-question changes throughout the publication year via the ASA website or e-mail. Subjects covered include aerodynamics, aircraft systems, flight instruments, aircraft performance, navigation, airspace and airport operations, and meteorology. Includes softcover book and computer testing supplement.<BR>",ASA Test Prep Board,Engineering & Transportation,1619542382
1,"How to Make a Website or Blog: with WordPress, WITHOUT Coding, on your own domain, all in under 2 hours! (THE MAKE MONEY FROM HOME LIONS CLUB)",http://ecx.images-amazon.com/images/I/516xaSKbfmL.jpg,"<b>HOW TO MAKE A WEBSITE OR BLOG: with WordPress, WITHOUT Coding, on your own domain, all in under 2 hours!<br><br><div><b>In association with makemoneyfromhomelionsclub.com</b>",Mike Omar,Computers & Technology,1484039270
2,Reviving Ophelia: Saving the Selves of Adolescent Girls,http://ecx.images-amazon.com/images/I/51LT0LBoZBL.jpg,"<b>#1 <i>New York Times</i> Bestseller<br><br>The groundbreaking work that poses one of the most provocative questions of a generation: what is happening to the selves of adolescent girls?</b><br><br>As a therapist, Mary Pipher was becoming frustrated with the growing problems among adolescent girls. Why were so many of them turning to therapy in the first place? Why had these lovely and promising human beings fallen prey to depression, eating disorders, suicide attempts, and crushingly low self-esteem? The answer hit a nerve with Pipher, with parents, and with the girls themselves. Crashing and burning in a &#8220;developmental Bermuda Triangle,&#8221; they were coming of age in a media-saturated culture preoccupied with unrealistic ideals of beauty and images of dehumanized sex, a culture rife with addictions and sexually transmitted diseases. They were losing their resiliency and optimism in a &#8220;girl-poisoning&#8221; culture that propagated values at odds with those necessary to survive.&#160;&#160;&#160;<br><br>Told in the brave, fearless, and honest voices of the girls themselves who are emerging from the chaos of adolescence, <i>Reviving Ophelia</i> is a call to arms, offering important tactics, empathy, and strength, and urging a change where young hearts can flourish again, and rediscover and reengage their sense of self.",Mary  Pipher,Parenting & Relationships,1594481881
3,"Introduction to Medical-Surgical Nursing, 5th Edition",http://ecx.images-amazon.com/images/I/411EApgcgmL.jpg,"<p>With just the right level of information to equip you to effectively care for adults and older adults, Linton's <b>Introduction to Medical-Surgical Nursing, 5<SUP>th</SUP> Edition</b> is the leading LPN/LVN text in its field. Covering both med-surg and psychiatric mental health conditions and disorders, it addresses your role in a variety of care settings, emphasizes culturally competent care and holistic nursing, and thoroughly covers all relevant NCLEX-PN Test Plan content. Abundant real-life case studies clearly show how to apply what you've learned to clinical practice.</p><ul> Features <b>separate chapters on common, high-profile disorders</b> (including hypertension, diabetes, and shock), providing an in-depth understanding for patient care.</li> <p> Offers <b>foundational units on basic concepts</b> related to the health care system, care settings, the nursing process, leadership, nutrition, the older adult, growth and nutrition, legal/ethical considerations, evidence-based nursing care, and many more essential topics, avoiding repetition later in the text</li> <p> Includes a separate, comprehensive unit on <b>the older adult</b> <b>and related disorders</b> ― no other LPN/LVN med-surg text has as much coverage of this primary patient group.</li> <p> Includes a separate, comprehensive unit on <b>psychosocial responses to illness, psychiatric disorders, and substance abuse</b> ― eliminating the need for a separate psychiatric mental health nursing text.</li> <p> Emphasizes <b>content related to the NCLEX-PN Test Plan,</b> including health promotion, nutrition, legal/ethical issues, HIPAA, and prevention of medication/medical errors.</li> <p> Offers <b>in-depth pharmacology coverage:</b> the <i>Pharmacology Tutorial</i> covers drug classifications, how drugs work, and nursing responsibilities; <i>Pharmacology Capsules</i> boxes provide medication information, precautions for use, interactions, and side/adverse effects; and <i>Pharmacology and Medications</i> tables in body systems chapters include classification, use/action, side/adverse effects, and nursing interventions ― all with the goal of reducing medication errors on the job and equipping you to pass the NCLEX exam.</li> <p> <b>Assists with assignment and supervision,</b> helping you assign tasks to nurse assistants, patient care techs, and unlicensed assistive personnel, and making sure you understand the difference between delegation, management, supervision, and assignment of tasks on the health care team.</li> <p> Features <b><i>Diagnostic Tests and Procedures</i> tables</b> for a quick reference to MRI, CT, Doppler flow, lumbar puncture tests for neurologic disorders, and much more.</li> <p> <b>Highlights timely information</b> with <i>Health Promotion</i> boxes, <i>Cultural Considerations</i> boxes, <i>Nutrition Considerations</i> boxes, and <i>Complementary and Alternative Therapies</i> boxes.</li> <p> Provides bulleted lists of <b>nursing instructions for <i>Patient Teaching Plans</i>,</b> stressing the role and responsibility of the LPN/LVN to reinforce patient education.</li>  Provides <b>consistent Nursing Care Plans</b> that reinforce the nursing process and focus on critical thinking, and <i>Put on Your Thinking Cap Critical Thinking</i> boxes encourage you to pause and consider the practical implications of what you have just read.</li></ul><ul> <b>Highlights safety and risk factors</b> with a new <i>Safety Considerations</i> icon, alerting you to potential risks in the clinical setting.</li> <p> <b>Emphasizes evidence-based practice,</b> providing specific examples of how scientific evidence can justify and support patient care.</li> <p> Offers a <b>unique focus on prioritization</b> throughout, with top priorities for each major disorder emphasized in all nursing care sections, to help you better prepare for the NCLEX exam.</li> <p> <i><b>Get Ready for the NCLEX-PN Examination!</b></i> includes Key Points, Review Questions, and Case Studies that address the NCLEX Client Needs categories of Safe and Effective Care Environment, Physiological Integrity, Psychosocial Integrity, and Health Promotion and Maintenance. An excellent review for course assessments and the NCLEX exam!</li> </ul> <p><b>Enhanced resources on Evolve include:</b></p> <ul> <p> Get Ready for the NCLEX-PN Examination! includes interactive prioritization exercises, case studies, review questions, and a pharmacology tutorial.</li> <p> Fluids and Electrolytes Tutorial</li> <p> Body Spectrum A&P Coloring Book</li> <p> Spanish/English Glossary</li> <p> Laboratory Reference Values</li> <p> Expanded Audio Glossary</li> <p> Animations of anatomy and physiology and procedures</li> </ul>",Adrianne Dill Linton,Medical Books,143771708X
4,Free Range Institution: A Mick Murphy Key West Mystery,http://ecx.images-amazon.com/images/I/51EmCYmJRnL.jpg,"Key West begins to look the the Wild West as Murphy and his ragtag team of friends gets involved with stopping a drug shipment from arriving on the island. Soon corrupt city and federal officials work with a mercenary in charge of a Colombian drug smuggling team to get Murphy at any cost. Murphy's friend, the local chief of police is looking for him to, to explain the violence that seems to continually lead back to Murphy. Murphy's black-bag friend, Norm, shows up to help and enlists some members JIATF, a federal agency responsible for tracking drug traffickers. The climatic end begins off the Bahamian island of Cay Sal with the drug shipment arrival via a Albatross seaplane and finally ends in the fishing shacks of Stock Island, Key West's working class neighborhood.",Mr Michael Haskins,Computers & Technology,1470064022
5,Scout Games: A collection of more than 50 scout games,http://ecx.images-amazon.com/images/I/51xYzUnp%2BrL.jpg,"There will be scouts that participate in scouting primarily because Scouting is fun, so offering an active game period at every scout meeting is critical to bringing boys back week after week. Coming up with stimulating game ideas is not always easy, though. Some units have limited space in their meeting halls, or need games for very small or very large numbers of youth. The Scout Games book is designed to help Scoutmasters deliver meeting fun regardless of the challenges any unit may face. This includes: active games; traditional games; indoor games; outdoor games; games suited for youth of varied ages; heights and weights; games for large groups; and games for small groups. There are many options to help solve the diverse problems a leader might face. Even games designed to reinforce Scouting skills like knot tying and first aid are included. Some of these games originated with Baden Powell and are time tested, while other games are more contemporary. They are all Scout tested and guaranteed to deliver fun. Games are rated with between one and five stars. Five-star games are the best and most fun, while one-star games are less fun but are still enjoyable. We hope that you enjoy this collection of scout games and that they help you deliver an outstanding program.",Thomas Mercaldo,Sports & Outdoors,1500673862
6,Lamisil: The Evidence,http://ecx.images-amazon.com/images/I/41RAHJiaeUL.jpg,"This is an authoritative clinical text on the use of oral terbinafine (Lamisil) as first-line therapy for onychomycosis (fungal nail infections) and as a rational choice for fungal skin infections that require oral therapy. Author Doctor R.J. Hay, reviews the data on Lamisil, presenting much of it in the form of especially helpful tables. Individual chapters cover pharmacology and pharmacokinetics and the use of Lamisil tablets in onychomycosis, tinea capitis, dermatomycoses, subcutaneous and systemic mycoses and other infectious diseases. Dr. Hay also provides a chapter on the safety and tolerability of Lamisil tablets, including the postmarketing surveillance study and interactions with other drugs.",R.J. Hay,Medical Books,1842140477
7,ShowMe Guides OpenCart 1.5 User Manual,http://ecx.images-amazon.com/images/I/51PzYCLHegL.jpg,"Revised and fully updated for 2013, and includes a subscription for free ""What's New?"" Updaters each time OpenCart is updated so your book is always current! See book for more information. <br><br> ENDORSED BY OPENCART - This is the official User Manual for OpenCart 1.5, written for non-technical beginners such as store owners or administrators. <br> <br> OpenCart is one of the fastest-growing open source eCommerce programs today because it is so easy to use and intuitive - it works the way you think an online store should work! Buy this book to take a tour of its features and plan out a store of your own, or use it as a daily reference for setting up and running your store. <br> <br> This user manual is loaded with checklists, cheatsheets, hot tips and large, clear, fully filled-in screenshots so you know exactly what to do: <br> <br> - Our famous Admin Menu Cheatsheet helps you quickly find the menus you want. <br> - Easy Checklists guide you through any task. <br> - Install your store in 30 minutes with our Quick Install Guide chapter, or instantly with one of the recommended OpenCart web hosts who install your store for you for FREE. <br> <br> - What you MUST know about your online store's security, in non-technical terms. <br> - How to find a web host and them (template) provider. <br> - How to hire a freelance OpenCart technical pro, and manage a successful project. <br> <br> ABOUT THE POPULAR SHOWME GUIDES SERIES <br> <br> These user manuals are written in plain, non-technical language for NON-TECHNICAL online store owners or managers, NO programming skill is required. We don't just tell you how to do it, we SHOW YOU with actual screenshots from a real store. On each topic, pictures SHOW YOU how it looks in the private Admin AND how it looks in your store. That's why it's called the ShowMe Guides(TM).",Ms. Kerry R. Watson,Computers & Technology,1468142364
8,Cookbooks for Fans: Dallas Football Outdoor Cooking and Tailgating Recipes: Cookbooks for Cowboy FANS - Barbecuing & Grilling Meat & Game (Outdoor ... ~ American Football Recipes) (Volume 3),http://ecx.images-amazon.com/images/I/51j-pjgreBL.jpg,"INCLUDES: FULL COLOR PICTURES COMPLETE INGREDIENT LISTS DETAILED INSTRUCTIONS OVER 30 TAILGATING RECIPES INSIDE INCLUDING: Grilled Shrimp Po Boy Sandwich with Farmers Market Relish Big D Sweet Vidalia Onion Bloom Grilled Baby Back Ribs in Cider BBQ Sauce Grilled Corn Salad with Poblano Peppers BBQ Blitz Chicken Wraps America's Team Burgers Romo Barbecue Bean Dip PLUS MANY, MANY MORE... Use the ""LOOK INSIDE"" feature on Amazon to check out the COMPLETE Table of Contents for Over 30 Recipes! Featuring Quick, Easy and Delicious Tailgating Recipes For ANY Outdoor Cooking Event or Occasion Attention Cowboy Football Fans!!! Are You Ready to Kick Your Barbecuing & Grilling Skills Back Into High Gear?!? It's Time for Tailgating, American Football and Outdoor Cooking...BIG D Style! Nothing says the Season is HERE like Burgers & Sandwiches, Quick & Easy Appetizers, Poultry & Seafood, Meat & Game and Anything Else we can Get on the Grill!! There is NO Second String for these GameDay Tailgating Recipes! We're Talking FIRST AND TEN Folks! In this Cookbook you will find Incredibly Easy Tailgating Recipes for Entertaining, Special Occasions and Delicious Sports and Outdoor Cooking... Consider this your Gameday Party Planning Playbook! Recipes which were awarded the Pigskin Seal of Approval by Offensive Linemen and FAN-atics across the League... Down, Set, Hut...These recipes are Rated Easy, COMPLETE with Full Ingredient Lists and Super Simple Instructions. The only thing that could Possibly make these Tailgating Recipes any Better would be a Lombardi Trophy to put the Leftovers in!! GO COWBOYS!!",Coach Kaleb,"Cookbooks, Food & Wine",1507643306
9,The Perfect Basket: How to Make a Fabulous Gift Basket for Any Occasion,http://ecx.images-amazon.com/images/I/51Q575lI3YL.jpg,"<DIV>Here's the perfect solution for everyone who strives to give the perfect gift! This stylish and user-friendly guide offers baskets for every occasion and at every price level, and is filled with gorgeous four-color photographs for inspiration. The book is also chock full of helpful tips and suggestions for how to choose the proper basket or other creative container, how to select properly sized items and assemble them in the basket, and how to wrap and decorate the basket. This revised and expanded edition now features more than 30 food baskets such as Chocoholic's Basket, Weekend Breakfast Basket, and Wok on the Wild Side Basket, and 60 themed baskets such as Baby's Here Basket, Off to College Basket, and Sports Fan Basket - a gift basket idea for nearly every occasion and holiday. Suggestions for creating most baskets cover several budget levels of $25, $50, and $100 or more. Other ideas range from a backpack filled with goodies for an off-to-college student to a cooler filled with tailgating supplies for an ardent football fan to a selection of homemade baked goods and cookie mixes for your favorite dessert lover. The food-themed baskets also offer recipes using the homemade mixes that can be copied and included as part of the gift. Everyone appreciates a gift created just for them, and gift baskets are a fantastic way to present a personalized gift to that special someone or turn a token gift into something treasured. The Perfect Basket gives experts and novices alike everything they need to create spectacular gift baskets for everyone on their list.",Diane Phillips,"Crafts, Hobbies & Home",1558322949
